epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2255,0.86317,0.58836,0.88064,0.81984,0.76565,0.81792,0.58644,0.93717,0.68625,0.89179,0.0670083,3.30247e-05,3.30247e-05
2,137.34,0.78834,0.51614,0.85768,0.86797,0.78243,0.84853,0.60014,0.94842,0.64876,0.8826,0.0337061,6.41483e-05,6.41483e-05
3,216.703,0.76053,0.48556,0.85136,0.87692,0.79525,0.86292,0.62265,0.92601,0.60674,0.87536,0.000401694,9.30519e-05,9.30519e-05
4,294.917,0.73664,0.4649,0.84734,0.88981,0.7928,0.86903,0.6327,0.90306,0.58958,0.86851,9.001e-05,9.001e-05,9.001e-05
5,382.393,0.71928,0.44721,0.84209,0.86514,0.82099,0.87139,0.63992,0.87463,0.57521,0.86463,8.668e-05,8.668e-05,8.668e-05
6,466.427,0.69476,0.41938,0.83418,0.86256,0.82467,0.87341,0.64222,0.87541,0.56772,0.86116,8.335e-05,8.335e-05,8.335e-05
7,544.684,0.68007,0.41285,0.83288,0.87617,0.81883,0.87882,0.64633,0.87416,0.56224,0.86075,8.002e-05,8.002e-05,8.002e-05
8,610.925,0.67839,0.40706,0.83163,0.88221,0.81967,0.88244,0.6516,0.86405,0.55375,0.8587,7.669e-05,7.669e-05,7.669e-05
9,682.7,0.66712,0.39518,0.82961,0.88248,0.82257,0.88485,0.65515,0.85457,0.54948,0.8582,7.336e-05,7.336e-05,7.336e-05
10,759.023,0.66355,0.39402,0.82755,0.87616,0.82792,0.88719,0.65754,0.84983,0.54884,0.85618,7.003e-05,7.003e-05,7.003e-05
11,828.713,0.65252,0.38794,0.82637,0.88094,0.83139,0.88876,0.65983,0.84049,0.54355,0.85518,6.67e-05,6.67e-05,6.67e-05
12,902.269,0.64737,0.38251,0.82533,0.8768,0.8342,0.89128,0.66421,0.83384,0.5381,0.85484,6.337e-05,6.337e-05,6.337e-05
13,981.664,0.6363,0.37276,0.82261,0.8774,0.83394,0.89129,0.66338,0.83451,0.53847,0.85315,6.004e-05,6.004e-05,6.004e-05
14,1057.78,0.63608,0.37294,0.82257,0.87602,0.83773,0.89162,0.66446,0.82993,0.5343,0.85328,5.671e-05,5.671e-05,5.671e-05
15,1124.27,0.63743,0.3766,0.82384,0.88138,0.83118,0.89308,0.6656,0.83279,0.53725,0.85294,5.338e-05,5.338e-05,5.338e-05
16,1199.3,0.62572,0.36299,0.82036,0.88262,0.83544,0.89336,0.66547,0.83166,0.5325,0.85195,5.005e-05,5.005e-05,5.005e-05
17,1273.68,0.62275,0.36449,0.81865,0.87823,0.84131,0.89472,0.66763,0.82695,0.52832,0.85181,4.672e-05,4.672e-05,4.672e-05
18,1340.59,0.61563,0.36025,0.81856,0.88958,0.83568,0.89599,0.66987,0.82244,0.52488,0.851,4.339e-05,4.339e-05,4.339e-05
19,1414.9,0.61359,0.35628,0.81781,0.89191,0.8334,0.89656,0.67029,0.82494,0.52613,0.85063,4.006e-05,4.006e-05,4.006e-05
20,1490.73,0.61372,0.35595,0.81866,0.88357,0.84459,0.89738,0.67082,0.82421,0.52392,0.85087,3.673e-05,3.673e-05,3.673e-05
21,1587.8,0.60825,0.35315,0.81623,0.89304,0.83779,0.89646,0.67034,0.82445,0.52583,0.85058,3.34e-05,3.34e-05,3.34e-05
22,1662.7,0.61503,0.35828,0.82042,0.88485,0.84232,0.89507,0.67115,0.81873,0.52648,0.85034,3.007e-05,3.007e-05,3.007e-05
23,1752.25,0.60652,0.35279,0.8166,0.89011,0.84111,0.89582,0.67344,0.81478,0.52318,0.8494,2.674e-05,2.674e-05,2.674e-05
24,1822.61,0.6079,0.35262,0.81855,0.88313,0.84267,0.89622,0.67231,0.81731,0.52386,0.84945,2.341e-05,2.341e-05,2.341e-05
25,1897.78,0.60295,0.34987,0.81512,0.89069,0.8383,0.89631,0.67153,0.82191,0.52466,0.84952,2.008e-05,2.008e-05,2.008e-05
26,1991.67,0.60712,0.35273,0.81719,0.88856,0.83916,0.89642,0.67494,0.81151,0.52076,0.8491,1.675e-05,1.675e-05,1.675e-05
27,2073.69,0.60164,0.34654,0.8156,0.8885,0.84139,0.8974,0.6736,0.81345,0.5222,0.84898,1.342e-05,1.342e-05,1.342e-05
28,2140.29,0.59798,0.34525,0.81733,0.89125,0.84034,0.89777,0.67501,0.80935,0.5196,0.8489,1.009e-05,1.009e-05,1.009e-05
29,2220.12,0.59965,0.34491,0.8153,0.88986,0.84378,0.8978,0.67488,0.81143,0.51849,0.84888,6.76e-06,6.76e-06,6.76e-06
30,2301.82,0.6054,0.34978,0.81586,0.89302,0.84257,0.89774,0.67439,0.81282,0.52032,0.84903,3.43e-06,3.43e-06,3.43e-06
